Région;Départements;Code commune (INSEE);Commune;nombre de redevables;patrimoine moyen en €;impôt moyen en €;
Centre;EURE-ET-LOIR;28085;CHARTRES                      ;456;1 583 832;5 847;
Centre;EURE-ET-LOIR;28134;DREUX                         ;129;1 626 344;6 493;
Centre;INDRE;36044;CHATEAUROUX                   ;231;1 681 525;7 557;
Centre;INDRE-ET-LOIRE;37122;JOUE LES TOURS                ;158;1 453 566;4 746;
Centre;INDRE-ET-LOIRE;37261;TOURS                         ;1 194;1 551 163;5 606;
Centre;LOIRET;45232;OLIVET                        ;318;1 416 951;4 406;
Centre;LOIRET;45234;ORLEANS                       ;1 069;1 522 011;5 388;
Centre;LOIR-ET-CHER;41018;BLOIS                         ;303;1 416 739;4 474;
Champagne-Ardenne;ARDENNES;08105;CHARLEVILLE MEZIERES          ;227;1 440 928;4 719;
Champagne-Ardenne;ARDENNES;08409;SEDAN                         ;52;1 858 238;9 131;
Champagne-Ardenne;AUBE;10387;TROYES                        ;385;1 688 883;7 130;
Champagne-Ardenne;HAUTE-MARNE;52121;CHAUMONT                      ;92;1 409 612;4 633;
Champagne-Ardenne;HAUTE-MARNE;52448;SAINT-DIZIER                  ;90;2 363 591;12 357;
Champagne-Ardenne;MARNE;51108;CHALONS EN CHAMPAGNE          ;203;1 620 055;6 106;
Champagne-Ardenne;MARNE;51230;EPERNAY                       ;170;1 844 125;8 266;
Champagne-Ardenne;MARNE;51454;REIMS                         ;1 158;1 784 909;8 308;
Corse;CORSE-DU-SUD;2A004;AJACCIO                       ;251;1 854 859;8 134;
Corse;HAUTE-CORSE;2B033;BASTIA                        ;124;1 777 691;7 858;
Franche-Comté;DOUBS;25056;BESANCON                      ;695;1 563 127;5 965;
Franche-Comté;DOUBS;25388;MONTBELIARD                   ;116;1 409 034;4 242;
Franche-Comté;JURA;39198;DOLE                          ;130;1 469 910;4 209;
Franche-Comté;TERRITOIRE DE BELFORT;90010;BELFORT                       ;196;1 664 552;6 659;
Guadeloupe;GUADELOUPE;9713 ;LE GOSIER                     ;101;2 061 855;9 638;
Guyane;GUYANE;Aucune ville de plus de 20 000 habitants ayant plus de 50 redevables à l'ISF;;;;;
Haute-Normandie;EURE;27229;EVREUX                        ;301;1 511 812;5 198;
Haute-Normandie;EURE;27681;VERNON                        ;183;1 462 634;4 730;
Haute-Normandie;SEINE-MARITIME;76217;DIEPPE                        ;194;1 505 978;5 279;
Haute-Normandie;SEINE-MARITIME;76259;FECAMP                        ;128;1 481 276;4 860;
Haute-Normandie;SEINE-MARITIME;76351;LE HAVRE                      ;704;1 555 692;5 796;
Haute-Normandie;SEINE-MARITIME;76451;MONT SAINT AIGNAN             ;491;1 813 500;8 032;
Haute-Normandie;SEINE-MARITIME;76540;ROUEN                         ;841;1 592 372;6 155;
Haute-Normandie;SEINE-MARITIME;76681;SOTTEVILLE LES ROUEN          ;51;1 292 248;3 324;
Ile de France;ESSONNE;91027;ATHIS MONS                    ;143;1 416 341;4 639;
Ile de France;ESSONNE;91103;BRETIGNY SUR ORGE             ;103;1 365 986;4 131;
Ile de France;ESSONNE;91114;BRUNOY                        ;342;1 458 094;4 987;
Ile de France;ESSONNE;91174;CORBEIL ESSONNES              ;143;1 360 297;4 024;
Ile de France;ESSONNE;91201;DRAVEIL                       ;230;1 560 540;6 751;
Ile de France;ESSONNE;91223;ETAMPES                       ;112;1 737 957;6 889;
Ile de France;ESSONNE;91228;EVRY                          ;76;1 433 606;4 573;
Ile de France;ESSONNE;91272;GIF SUR YVETTE                ;702;1 467 216;5 091;
Ile de France;ESSONNE;91345;LONGJUMEAU                    ;97;1 390 102;4 191;
Ile de France;ESSONNE;91377;MASSY                         ;182;1 290 879;3 579;
Ile de France;ESSONNE;91421;MONTGERON                     ;283;1 458 607;5 201;
Ile de France;ESSONNE;91477;PALAISEAU                     ;409;1 734 537;7 202;
Ile de France;ESSONNE;91521;RIS ORANGIS                   ;105;1 328 690;3 697;
Ile de France;ESSONNE;91570;ST MICHEL SUR ORGE            ;92;1 278 320;3 439;
Ile de France;ESSONNE;91549;STE GENEVIEVE DES BOIS        ;272;1 463 039;4 735;
Ile de France;ESSONNE;91589;SAVIGNY SUR ORGE              ;312;1 307 391;3 546;
Ile de France;ESSONNE;91657;VIGNEUX SUR SEINE             ;69;1 284 936;3 254;
Ile de France;ESSONNE;91687;VIRY CHATILLON                ;117;1 329 580;3 663;
Ile de France;ESSONNE;91691;YERRES                        ;224;1 379 265;4 172;
Ile de France;HAUTS-DE-SEINE;92002;ANTONY                        ;1 387;1 393 102;4 315;
Ile de France;HAUTS-DE-SEINE;92004;ASNIERES                      ;1 235;1 609 356;6 748;
Ile de France;HAUTS-DE-SEINE;92007;BAGNEUX                       ;131;1 398 146;4 456;
Ile de France;HAUTS-DE-SEINE;92009;BOIS-COLOMBES                 ;521;1 442 928;4 603;
Ile de France;HAUTS-DE-SEINE;92012;BOULOGNE BILLANCOURT          ;4 977;1 933 819;9 873;
Ile de France;HAUTS-DE-SEINE;92019;CHATENAY MALABRY              ;521;1 498 346;5 325;
Ile de France;HAUTS-DE-SEINE;92020;CHATILLON                     ;376;1 399 890;4 294;
Ile de France;HAUTS-DE-SEINE;92023;CLAMART                       ;1 078;1 491 339;5 217;
Ile de France;HAUTS-DE-SEINE;92024;CLICHY                        ;226;1 417 391;4 471;
Ile de France;HAUTS-DE-SEINE;92025;COLOMBES                      ;691;1 559 754;5 989;
Ile de France;HAUTS-DE-SEINE;92026;COURBEVOIE                    ;1 656;1 500 733;5 292;
Ile de France;HAUTS-DE-SEINE;92032;FONTENAY AUX ROSES            ;470;1 390 196;4 229;
Ile de France;HAUTS-DE-SEINE;92040;ISSY LES MOULINEAUX           ;1 097;1 545 171;5 484;
Ile de France;HAUTS-DE-SEINE;92035;LA GARENNE COLOMBES           ;493;1 466 614;5 109;
Ile de France;HAUTS-DE-SEINE;92060;LE PLESSIS ROBINSON           ;274;1 388 056;4 138;
Ile de France;HAUTS-DE-SEINE;92044;LEVALLOIS-PERRET              ;1 617;1 721 105;7 221;
Ile de France;HAUTS-DE-SEINE;92046;MALAKOFF                      ;215;1 641 372;7 505;
Ile de France;HAUTS-DE-SEINE;92048;MEUDON                        ;1 644;1 636 911;6 528;
Ile de France;HAUTS-DE-SEINE;92049;MONTROUGE                     ;594;1 663 920;7 705;
Ile de France;HAUTS-DE-SEINE;92050;NANTERRE                      ;405;1 443 905;4 767;
Ile de France;HAUTS-DE-SEINE;92051;NEUILLY SUR SEINE             ;7 489;3 318 864;26 623;
Ile de France;HAUTS-DE-SEINE;92062;PUTEAUX                       ;491;1 534 957;5 764;
Ile de France;HAUTS-DE-SEINE;92063;RUEIL MALMAISON               ;2 380;1 599 178;6 257;
Ile de France;HAUTS-DE-SEINE;92064;SAINT CLOUD                   ;2 012;2 243 166;13 189;
Ile de France;HAUTS-DE-SEINE;92072;SEVRES                        ;915;1 823 195;8 001;
Ile de France;HAUTS-DE-SEINE;92073;SURESNES                      ;801;1 698 729;7 078;
Ile de France;HAUTS-DE-SEINE;92075;VANVES                        ;534;1 508 458;5 237;
Ile de France;PARIS;75101;PARIS 01;912;2 155 182;12 450;
Ile de France;PARIS;75102;PARIS 02;544;1 677 850;7 046;
Ile de France;PARIS;75103;PARIS 03;1 282;2 001 704;10 314;
Ile de France;PARIS;75104;PARIS 04;1 561;2 365 984;14 271;
Ile de France;PARIS;75105;PARIS 05;3 325;2 012 397;10 324;
Ile de France;PARIS;75106;PARIS 06;4 678;2 699 333;17 879;
Ile de France;PARIS;75107;PARIS 07;6 943;3 346 787;24 936;
Ile de France;PARIS;75108;PARIS 08;3 869;2 835 198;19 819;
Ile de France;PARIS;75109;PARIS 09;2 202;1 796 100;8 042;
Ile de France;PARIS;75110;PARIS 10;1 233;1 589 589;6 209;
Ile de France;PARIS;75111;PARIS 11;2 712;1 632 394;6 757;
Ile de France;PARIS;75112;PARIS 12;3 307;1 634 525;6 571;
Ile de France;PARIS;75113;PARIS 13;2 971;1 582 473;6 047;
Ile de France;PARIS;75114;PARIS 14;4 505;1 799 634;8 215;
Ile de France;PARIS;75115;PARIS 15;9 392;1 759 971;7 791;
Ile de France;PARIS;75116;PARIS 16;18 537;2 844 189;19 563;
Ile de France;PARIS;75117;PARIS 17;7 901;2 160 135;12 097;
Ile de France;PARIS;75118;PARIS 18;1 993;1 776 955;7 976;
Ile de France;PARIS;75119;PARIS 19;1 588;1 565 041;5 719;
Ile de France;PARIS;75120;PARIS 20;1 741;1 458 880;4 802;
Ile de France;SEINE-ET-MARNE;77058;BUSSY ST GEORGES              ;102;1 469 876;5 071;
Ile de France;SEINE-ET-MARNE;77083;CHAMPS SUR MARNE              ;86;1 229 865;2 848;
Ile de France;SEINE-ET-MARNE;77108;CHELLES                       ;257;1 337 852;3 800;
Ile de France;SEINE-ET-MARNE;77122;COMBS LA VILLE                ;100;1 334 785;3 745;
Ile de France;SEINE-ET-MARNE;77152;DAMMARIE LES LYS              ;89;1 472 375;5 000;
Ile de France;SEINE-ET-MARNE;77285;LE MEE SUR SEINE              ;52;1 866 688;8 630;
Ile de France;SEINE-ET-MARNE;77284;MEAUX                         ;242;1 607 948;5 956;
Ile de France;SEINE-ET-MARNE;77288;MELUN                         ;225;1 624 958;6 765;
Ile de France;SEINE-ET-MARNE;77350;OZOIR LA FERRIERE             ;127;1 616 834;6 975;
Ile de France;SEINE-ET-MARNE;77373;PONTAULT COMBAULT             ;149;1 310 967;3 654;
Ile de France;SEINE-ET-MARNE;77514;VILLEPARISIS                  ;61;1 253 443;3 112;
Ile de France;SEINE-SAINT-DENIS;93001;AUBERVILLIERS                 ;98;1 534 396;5 523;
Ile de France;SEINE-SAINT-DENIS;93005;AULNAY SOUS BOIS              ;313;1 421 257;4 521;
Ile de France;SEINE-SAINT-DENIS;93006;BAGNOLET                      ;74;1 462 857;4 709;
Ile de France;SEINE-SAINT-DENIS;93010;BONDY                         ;84;1 442 259;4 821;
Ile de France;SEINE-SAINT-DENIS;93029;DRANCY                        ;148;1 459 954;4 623;
Ile de France;SEINE-SAINT-DENIS;93031;EPINAY SUR SEINE              ;106;1 337 399;3 783;
Ile de France;SEINE-SAINT-DENIS;93032;GAGNY                         ;234;1 338 480;3 975;
Ile de France;SEINE-SAINT-DENIS;93027;LA COURNEUVE                  ;52;1 271 707;3 226;
Ile de France;SEINE-SAINT-DENIS;93007;LE BLANC MESNIL               ;105;1 379 017;4 252;
Ile de France;SEINE-SAINT-DENIS;93045;LES LILAS                     ;183;1 650 094;6 858;
Ile de France;SEINE-SAINT-DENIS;93057;LES PAVILLONS SOUS BOIS       ;141;1 472 451;4 934;
Ile de France;SEINE-SAINT-DENIS;93046;LIVRY GARGAN                  ;204;1 590 101;7 564;
Ile de France;SEINE-SAINT-DENIS;93047;MONTFERMEIL                   ;104;1 390 636;4 263;
Ile de France;SEINE-SAINT-DENIS;93048;MONTREUIL SOUS BOIS           ;354;1 456 452;4 740;
Ile de France;SEINE-SAINT-DENIS;93050;NEUILLY SUR MARNE             ;51;1 530 763;5 639;
Ile de France;SEINE-SAINT-DENIS;93051;NOISY LE GRAND                ;268;1 404 949;4 325;
Ile de France;SEINE-SAINT-DENIS;93053;NOISY LE SEC                  ;129;1 368 206;4 147;
Ile de France;SEINE-SAINT-DENIS;93055;PANTIN                        ;165;1 400 090;4 300;
Ile de France;SEINE-SAINT-DENIS;93059;PIERREFITTE SUR SEINE         ;52;2 834 286;17 972;
Ile de France;SEINE-SAINT-DENIS;93063;ROMAINVILLE                   ;62;1 364 660;3 907;
Ile de France;SEINE-SAINT-DENIS;93064;ROSNY SOUS BOIS               ;180;1 384 991;4 140;
Ile de France;SEINE-SAINT-DENIS;93066;SAINT DENIS                   ;97;1 556 409;5 448;
Ile de France;SEINE-SAINT-DENIS;93070;SAINT OUEN                    ;100;1 418 458;4 403;
Ile de France;SEINE-SAINT-DENIS;93071;SEVRAN                        ;58;1 259 043;3 216;
Ile de France;SEINE-SAINT-DENIS;93073;TREMBLAY EN FRANCE            ;91;1 319 958;3 669;
Ile de France;SEINE-SAINT-DENIS;93077;VILLEMOMBLE                   ;324;1 549 303;5 600;
Ile de France;VAL-DE-MARNE;94002;ALFORTVILLE                   ;105;1 434 579;4 535;
Ile de France;VAL-DE-MARNE;94016;CACHAN                        ;248;1 399 766;4 314;
Ile de France;VAL-DE-MARNE;94017;CHAMPIGNY SUR MARNE           ;344;1 483 735;5 437;
Ile de France;VAL-DE-MARNE;94018;CHARENTON LE PONT             ;641;1 593 585;6 104;
Ile de France;VAL-DE-MARNE;94022;CHOISY LE ROI                 ;173;1 441 749;4 867;
Ile de France;VAL-DE-MARNE;94028;CRETEIL                       ;386;1 443 017;4 733;
Ile de France;VAL-DE-MARNE;94033;FONTENAY SOUS BOIS            ;882;1 759 279;7 672;
Ile de France;VAL-DE-MARNE;94034;FRESNES                       ;101;1 392 787;4 425;
Ile de France;VAL-DE-MARNE;94041;IVRY SUR SEINE                ;185;1 931 187;9 498;
Ile de France;VAL-DE-MARNE;94038;L'HAY LES ROSES               ;391;1 435 417;4 624;
Ile de France;VAL-DE-MARNE;94043;LE KREMLIN BICETRE            ;125;1 406 974;4 610;
Ile de France;VAL-DE-MARNE;94058;LE PERREUX SUR MARNE          ;711;1 527 188;5 391;
Ile de France;VAL-DE-MARNE;94046;MAISONS ALFORT                ;449;1 482 288;5 326;
Ile de France;VAL-DE-MARNE;94052;NOGENT SUR MARNE              ;1 147;1 789 881;8 276;
Ile de France;VAL-DE-MARNE;94054;ORLY                          ;63;1 280 094;3 275;
Ile de France;VAL-DE-MARNE;94068;SAINT MAUR DES FOSSES         ;2 551;1 678 967;7 159;
Ile de France;VAL-DE-MARNE;94071;SUCY EN BRIE                  ;396;1 366 964;4 033;
Ile de France;VAL-DE-MARNE;94073;THIAIS                        ;236;1 547 825;5 768;
Ile de France;VAL-DE-MARNE;94076;VILLEJUIF                     ;200;1 435 362;4 542;
Ile de France;VAL-DE-MARNE;94078;VILLENEUVE SAINT GEORGES      ;53;1 451 447;4 581;
Ile de France;VAL-DE-MARNE;94079;VILLIERS SUR MARNE            ;157;1 402 678;4 420;
Ile de France;VAL-DE-MARNE;94080;VINCENNES                     ;1 410;1 576 331;5 841;
Ile de France;VAL-DE-MARNE;94081;VITRY-SUR-SEINE               ;235;1 445 088;4 927;
Ile de France;VAL-D'OISE;95018;ARGENTEUIL                    ;279;1 763 138;9 324;
Ile de France;VAL-D'OISE;95127;CERGY                         ;156;1 325 433;3 807;
Ile de France;VAL-D'OISE;95197;DEUIL LA BARRE                ;208;1 397 312;4 264;
Ile de France;VAL-D'OISE;95203;EAUBONNE                      ;281;1 337 205;3 743;
Ile de France;VAL-D'OISE;95219;ERMONT                        ;211;1 320 311;3 622;
Ile de France;VAL-D'OISE;95252;FRANCONVILLE                  ;129;1 480 006;6 213;
Ile de France;VAL-D'OISE;95306;HERBLAY                       ;184;1 475 175;5 104;
Ile de France;VAL-D'OISE;95428;MONTMORENCY                   ;542;1 680 040;7 182;
Ile de France;VAL-D'OISE;95500;PONTOISE                      ;184;1 572 391;5 715;
Ile de France;VAL-D'OISE;95582;SANNOIS                       ;147;1 331 011;3 773;
Ile de France;VAL-D'OISE;95585;SARCELLES                     ;77;1 323 030;3 534;
Ile de France;VAL-D'OISE;95607;TAVERNY                       ;186;1 366 347;3 886;
Ile de France;YVELINES;78146;CHATOU                        ;1 062;1 694 080;7 060;
Ile de France;YVELINES;78172;CONFLANS-SAINTE-HONORINE      ;224;1 367 145;4 045;
Ile de France;YVELINES;78208;ELANCOURT                     ;154;1 274 472;3 313;
Ile de France;YVELINES;78297;GUYANCOURT                    ;126;1 327 560;3 929;
Ile de France;YVELINES;78311;HOUILLES                      ;298;1 320 189;3 654;
Ile de France;YVELINES;78126;LA CELLE-SAINT-CLOUD          ;883;1 799 714;8 511;
Ile de France;YVELINES;78158;LE CHESNAY                    ;1 229;1 642 919;6 804;
Ile de France;YVELINES;78440;LES MUREAUX                   ;51;1 235 607;2 870;
Ile de France;YVELINES;78358;MAISONS-LAFFITTE              ;999;1 606 977;6 288;
Ile de France;YVELINES;78361;MANTES-LA-JOLIE               ;163;1 660 779;6 641;
Ile de France;YVELINES;78423;MONTIGNY-LE-BRETONNEUX        ;202;1 288 259;3 338;
Ile de France;YVELINES;78490;PLAISIR                       ;250;1 413 451;4 532;
Ile de France;YVELINES;78498;POISSY                        ;302;1 374 127;4 148;
Ile de France;YVELINES;78517;RAMBOUILLET                   ;381;1 505 057;5 680;
Ile de France;YVELINES;78551;SAINT-GERMAIN-EN-LAYE         ;1 838;1 770 769;7 903;
Ile de France;YVELINES;78586;SARTROUVILLE                  ;310;1 410 008;4 423;
Ile de France;YVELINES;78640;VELIZY-VILLACOUBLAY           ;245;1 309 427;3 588;
Ile de France;YVELINES;78646;VERSAILLES                    ;4 296;1 732 158;7 405;
Languedoc-Roussillon;AUDE;11069;CARCASSONNE                   ;246;1 524 981;5 467;
Languedoc-Roussillon;AUDE;11262;NARBONNE                      ;278;1 526 959;5 498;
Languedoc-Roussillon;GARD;30007;ALES                          ;221;1 348 128;3 871;
Languedoc-Roussillon;GARD;30189;NIMES                         ;1 092;1 602 164;6 245;
Languedoc-Roussillon;HERAULT;34003;AGDE                          ;243;1 459 218;4 978;
Languedoc-Roussillon;HERAULT;34032;BEZIERS                       ;447;1 657 018;6 640;
Languedoc-Roussillon;HERAULT;34108;FRONTIGNAN                    ;91;1 413 415;4 227;
Languedoc-Roussillon;HERAULT;34145;LUNEL                         ;89;1 377 986;3 943;
Languedoc-Roussillon;HERAULT;34172;MONTPELLIER                   ;1 745;1 532 996;5 461;
Languedoc-Roussillon;HERAULT;34301;SETE                          ;312;1 632 129;6 188;
Languedoc-Roussillon;PYRENEES-ORIENTALES;66136;PERPIGNAN                     ;777;1 588 426;5 974;
Limousin;CORREZE;19031;BRIVE-LA-GAILLARDE;408;1 669 838;6 511;
Limousin;HAUTE-VIENNE;87085;LIMOGES                       ;926;1 815 541;8 696;
Lorraine;MEURTHE-ET-MOSELLE;54329;LUNEVILLE                     ;89;1 563 408;5 448;
Lorraine;MEURTHE-ET-MOSELLE;54395;NANCY                         ;1 079;1 749 592;8 253;
Lorraine;MEURTHE-ET-MOSELLE;54547;VANDOEUVRE LES NANCY          ;120;1 350 970;3 760;
Lorraine;MEUSE;55545;VERDUN                        ;71;1 778 374;7 097;
Lorraine;MOSELLE;57227;FORBACH                       ;68;1 669 150;7 988;
Lorraine;MOSELLE;57463;METZ                          ;726;1 695 227;7 290;
Lorraine;MOSELLE;57480;MONTIGNY LES METZ             ;191;1 583 902;5 993;
Lorraine;MOSELLE;57631;SARREGUEMINES                 ;117;1 815 275;7 760;
Lorraine;MOSELLE;57672;THIONVILLE                    ;328;1 869 364;8 855;
Lorraine;VOSGES;88160;EPINAL                        ;215;1 795 420;8 692;
Lorraine;VOSGES;88413;SAINT DIE DES VOSGES          ;114;1 610 926;6 345;
Martinique;MARTINIQUE;9709 ;FORT DE FRANCE                ;123;2 217 326;12 297;
Martinique;MARTINIQUE;9729 ;SCHOELCHER                    ;52;1 653 240;6 491;
Midi-Pyrénées;AVEYRON;12145;MILLAU                        ;119;1 530 924;5 295;
Midi-Pyrénées;AVEYRON;12202;RODEZ                         ;233;1 676 384;6 771;
Midi-Pyrénées;GERS;32013;AUCH                          ;163;1 359 271;3 961;
Midi-Pyrénées;HAUTE-GARONNE;31069;BLAGNAC                       ;134;1 402 212;4 094;
Midi-Pyrénées;HAUTE-GARONNE;31149;COLOMIERS                     ;161;1 393 950;4 304;
Midi-Pyrénées;HAUTE-GARONNE;31395;MURET                         ;146;1 402 740;4 189;
Midi-Pyrénées;HAUTE-GARONNE;31555;TOULOUSE                      ;3 906;1 581 064;6 082;
Midi-Pyrénées;HAUTE-GARONNE;31557;TOURNEFEUILLE                 ;261;1 538 123;5 932;
Midi-Pyrénées;HAUTES-PYRENEES;65440;TARBES                        ;200;1 415 894;4 522;
Midi-Pyrénées;LOT;46042;CAHORS                        ;150;1 266 473;3 220;
Midi-Pyrénées;TARN;81004;ALBI                          ;299;1 504 177;5 531;
Midi-Pyrénées;TARN;81065;CASTRES                       ;249;1 534 116;5 419;
Midi-Pyrénées;TARN-ET-GARONNE;82121;MONTAUBAN                     ;317;1 641 573;6 311;
Nord-Pas-de-Calais;NORD;59017;ARMENTIERES                   ;94;1 701 416;8 211;
Nord-Pas-de-Calais;NORD;59122;CAMBRAI                       ;249;1 579 795;5 911;
Nord-Pas-de-Calais;NORD;59163;CROIX                         ;402;3 741 886;28 410;
Nord-Pas-de-Calais;NORD;59178;DOUAI                         ;351;1 532 448;5 486;
Nord-Pas-de-Calais;NORD;59183;DUNKERQUE                     ;465;1 442 616;4 770;
Nord-Pas-de-Calais;NORD;59295;HAZEBROUCK                    ;140;1 569 239;5 828;
Nord-Pas-de-Calais;NORD;59368;LA MADELEINE                  ;239;1 763 202;7 812;
Nord-Pas-de-Calais;NORD;59328;LAMBERSART                    ;394;1 782 603;7 740;
Nord-Pas-de-Calais;NORD;59350;LILLE                         ;1 479;1 667 954;6 917;
Nord-Pas-de-Calais;NORD;59360;LOOS                          ;61;1 482 717;4 958;
Nord-Pas-de-Calais;NORD;59378;MARCQ EN BAROEUL              ;1 198;1 962 581;9 324;
Nord-Pas-de-Calais;NORD;59392;MAUBEUGE                      ;96;1 429 743;4 630;
Nord-Pas-de-Calais;NORD;59410;MONS EN BAROEUL               ;91;1 855 082;11 949;
Nord-Pas-de-Calais;NORD;59512;ROUBAIX                       ;298;1 904 845;8 852;
Nord-Pas-de-Calais;NORD;59599;TOURCOING                     ;300;1 424 531;4 597;
Nord-Pas-de-Calais;NORD;59606;VALENCIENNES                  ;347;1 475 450;4 972;
Nord-Pas-de-Calais;NORD;59009;VILLENEUVE D'ASCQ             ;568;1 823 843;8 432;
Nord-Pas-de-Calais;NORD;59650;WATTRELOS                     ;56;1 217 282;2 838;
Nord-Pas-de-Calais;PAS-DE-CALAIS;62041;ARRAS                         ;320;1 747 497;7 272;
Nord-Pas-de-Calais;PAS-DE-CALAIS;62119;BETHUNE                       ;202;1 590 795;5 561;
Nord-Pas-de-Calais;PAS-DE-CALAIS;62160;BOULOGNE SUR MER              ;187;1 542 285;5 277;
Nord-Pas-de-Calais;PAS-DE-CALAIS;62193;CALAIS                        ;219;1 522 539;5 007;
Nord-Pas-de-Calais;PAS-DE-CALAIS;62427;HENIN BEAUMONT                ;77;1 541 070;5 260;
Nord-Pas-de-Calais;PAS-DE-CALAIS;62498;LENS                          ;126;1 667 831;6 518;
