Région;Départements;Code commune (INSEE);Commune;nombre de redevables;patrimoine moyen en €;impôt moyen en €
Auvergne;HAUTE-LOIRE;43157;LE PUY-EN-VELAY; 116   ; 1 478 958   ; 5 338   
Auvergne;PUY-DE-DOME;63113;CLERMONT-FERRAND; 682   ; 1 580 369   ; 6 446   
Basse-Normandie;CALVADOS;14118;CAEN; 916   ; 1 654 876   ; 6 543   
Basse-Normandie;CALVADOS;14366;LISIEUX; 106   ; 1 527 769   ; 5 448   
Basse-Normandie;MANCHE;50129;CHERBOURG OCTEVILLE; 170   ; 1 525 541   ; 5 670   
Basse-Normandie;MANCHE;50502;SAINT LO; 88   ; 1 453 031   ; 4 791   
Basse-Normandie;ORNE;61001;ALENCON; 111   ; 1 570 297   ; 6 001   
Bourgogne;COTE-D'OR;21054;BEAUNE; 215   ; 1 461 984   ; 5 075   
Bourgogne;COTE-D'OR;21231;DIJON; 1 153   ; 1 501 838   ; 5 491   
Bourgogne;NIEVRE;58194;NEVERS; 183   ; 1 566 726   ; 5 559   
Bourgogne;SAONE-ET-LOIRE;71076;CHALON SUR SAONE; 238   ; 1 504 704   ; 5 569   
Bourgogne;SAONE-ET-LOIRE;71153;LE CREUSOT; 85   ; 1 284 771   ; 3 452   
Bourgogne;SAONE-ET-LOIRE;71270;MACON; 191   ; 1 721 554   ; 9 191   
Bourgogne;YONNE;89024;AUXERRE; 211   ; 1 363 079   ; 4 237   
Bourgogne;YONNE;89387;SENS; 185   ; 1 546 445   ; 5 583   
Bretagne;COTES-D'ARMOR;22278;SAINT-BRIEUC; 294   ; 1 557 870   ; 5 890   
Bretagne;FINISTERE;29019;BREST; 454   ; 1 704 351   ; 7 792   
Bretagne;FINISTERE;29039;CONCARNEAU; 168   ; 1 536 928   ; 5 409   
Bretagne;FINISTERE;29232;QUIMPER; 340   ; 1 465 936   ; 5 129   
Bretagne;ILLE-ET-VILAINE;35115;FOUGERES; 108   ; 1 456 715   ; 4 739   
Bretagne;ILLE-ET-VILAINE;35238;RENNES; 1 789   ; 1 610 147   ; 6 392   
Bretagne;ILLE-ET-VILAINE;35288;SAINT MALO; 605   ; 1 458 831   ; 4 781   
Bretagne;MORBIHAN;56121;LORIENT; 243   ; 1 528 445   ; 5 588   
Bretagne;MORBIHAN;56260;VANNES; 624   ; 1 476 405   ; 4 981   
Centre;CHER;18033;BOURGES; 379   ; 1 644 264   ; 6 519   
Centre;CHER;18279;VIERZON; 106   ; 1 422 023   ; 4 866   
Centre;EURE-ET-LOIR;28085;CHARTRES; 405   ; 1 538 651   ; 5 512   
Centre;EURE-ET-LOIR;28134;DREUX; 110   ; 1 602 877   ; 6 355   
Centre;INDRE;36044;CHATEAUROUX; 193   ; 1 777 487   ; 8 466   
Centre;INDRE-ET-LOIRE;37122;JOUE LES TOURS; 143   ; 1 313 556   ; 3 781   
Centre;INDRE-ET-LOIRE;37261;TOURS; 1 035   ; 1 493 883   ; 5 333   
Centre;LOIRET;45232;OLIVET; 250   ; 1 408 545   ; 4 388   
Centre;LOIRET;45234;ORLEANS; 914   ; 1 495 265   ; 5 195   
Centre;LOIR-ET-CHER;41018;BLOIS; 277   ; 1 399 236   ; 4 482   
Champagne-Ardenne;ARDENNES;08105;CHARLEVILLE MEZIERES; 204   ; 1 434 772   ; 4 909   
Champagne-Ardenne;AUBE;10387;TROYES; 335   ; 1 626 836   ; 6 470   
Champagne-Ardenne;HAUTE-MARNE;52121;CHAUMONT; 85   ; 1 343 328   ; 3 826   
Champagne-Ardenne;HAUTE-MARNE;52448;SAINT-DIZIER; 83   ; 2 099 058   ; 10 072   
Champagne-Ardenne;MARNE;51108;CHALONS EN CHAMPAGNE; 182   ; 1 547 205   ; 5 499   
Champagne-Ardenne;MARNE;51230;EPERNAY; 150   ; 1 774 693   ; 7 825   
Champagne-Ardenne;MARNE;51454;REIMS; 1 026   ; 1 785 284   ; 8 663   
Corse;CORSE-DU-SUD;2A004;AJACCIO; 206   ; 1 835 390   ; 8 154   
Corse;HAUTE-CORSE;2B033;BASTIA; 105   ; 1 723 362   ; 7 588   
Franche-Comté;DOUBS;25056;BESANCON; 587   ; 1 556 382   ; 6 045   
Franche-Comté;DOUBS;25388;MONTBELIARD; 99   ; 1 344 924   ; 3 842   
Franche-Comté;JURA;39198;DOLE; 102   ; 1 296 409   ; 3 526   
Franche-Comté;TERRITOIRE DE BELFORT;90010;BELFORT; 178   ; 1 587 045   ; 5 802   
Guadeloupe;GUADELOUPE;97113;LE GOSIER; 77   ; 1 846 988   ; 8 910   
Guyane;GUYANE;Aucune ville de plus de 20 000 habitants ayant plus de 50 redevables à l'ISF;;;;
Haute-Normandie;EURE;27229;EVREUX; 246   ; 1 477 809   ; 5 211   
Haute-Normandie;EURE;27681;VERNON; 158   ; 1 445 662   ; 4 654   
Haute-Normandie;SEINE-MARITIME;76217;DIEPPE; 168   ; 1 464 811   ; 4 945   
Haute-Normandie;SEINE-MARITIME;76259;FECAMP; 114   ; 1 459 137   ; 4 867   
Haute-Normandie;SEINE-MARITIME;76351;LE HAVRE; 612   ; 1 550 170   ; 5 788   
Haute-Normandie;SEINE-MARITIME;76451;MONT SAINT AIGNAN; 428   ; 1 788 351   ; 8 493   
Haute-Normandie;SEINE-MARITIME;76540;ROUEN; 710   ; 1 543 163   ; 5 985   
Ile de France;ESSONNE;91027;ATHIS MONS; 115   ; 1 404 878   ; 4 650   
Ile de France;ESSONNE;91103;BRETIGNY SUR ORGE; 83   ; 1 261 292   ; 3 174   
Ile de France;ESSONNE;91114;BRUNOY; 285   ; 1 445 260   ; 4 973   
Ile de France;ESSONNE;91174;CORBEIL ESSONNES; 118   ; 1 332 780   ; 3 915   
Ile de France;ESSONNE;91201;DRAVEIL; 189   ; 1 398 138   ; 4 411   
Ile de France;ESSONNE;91223;ETAMPES; 106   ; 1 678 812   ; 6 867   
Ile de France;ESSONNE;91228;EVRY; 69   ; 1 479 091   ; 5 630   
Ile de France;ESSONNE;91272;GIF SUR YVETTE; 604   ; 1 422 894   ; 4 801   
Ile de France;ESSONNE;91345;LONGJUMEAU; 84   ; 1 345 879   ; 3 938   
Ile de France;ESSONNE;91377;MASSY; 141   ; 1 311 398   ; 3 803   
Ile de France;ESSONNE;91421;MONTGERON; 241   ; 1 440 300   ; 4 925   
Ile de France;ESSONNE;91477;PALAISEAU; 358   ; 1 736 962   ; 7 350   
Ile de France;ESSONNE;91521;RIS ORANGIS; 88   ; 1 296 937   ; 3 539   
Ile de France;ESSONNE;91570;ST MICHEL SUR ORGE; 78   ; 1 258 957   ; 3 368   
Ile de France;ESSONNE;91549;STE GENEVIEVE DES BOIS; 243   ; 1 405 285   ; 4 317   
Ile de France;ESSONNE;91589;SAVIGNY SUR ORGE; 247   ; 1 292 315   ; 3 530   
Ile de France;ESSONNE;91657;VIGNEUX-SUR-SEINE; 59   ; 1 235 964   ; 3 019   
Ile de France;ESSONNE;91687;VIRY CHATILLON; 95   ; 1 352 307   ; 3 880   
Ile de France;ESSONNE;91691;YERRES; 194   ; 1 357 990   ; 4 067   
Ile de France;HAUTS-DE-SEINE;92002;ANTONY; 1 144   ; 1 350 787   ; 4 036   
Ile de France;HAUTS-DE-SEINE;92004;ASNIERES; 1 095   ; 1 567 281   ; 5 957   
Ile de France;HAUTS-DE-SEINE;92007;BAGNEUX; 104   ; 1 355 241   ; 4 047   
Ile de France;HAUTS-DE-SEINE;92009;BOIS-COLOMBES; 446   ; 1 408 146   ; 4 521   
Ile de France;HAUTS-DE-SEINE;92012;BOULOGNE BILLANCOURT; 4 400   ; 1 875 673   ; 9 303   
Ile de France;HAUTS-DE-SEINE;92019;CHATENAY MALABRY; 447   ; 1 469 624   ; 5 264   
Ile de France;HAUTS-DE-SEINE;92020;CHATILLON; 308   ; 1 378 697   ; 4 266   
Ile de France;HAUTS-DE-SEINE;92023;CLAMART; 930   ; 1 424 745   ; 4 662   
Ile de France;HAUTS-DE-SEINE;92024;CLICHY; 199   ; 1 360 492   ; 4 131   
Ile de France;HAUTS-DE-SEINE;92025;COLOMBES; 560   ; 1 487 415   ; 5 113   
Ile de France;HAUTS-DE-SEINE;92026;COURBEVOIE; 1 440   ; 1 445 166   ; 5 051   
Ile de France;HAUTS-DE-SEINE;92032;FONTENAY AUX ROSES; 405   ; 1 361 324   ; 4 148   
Ile de France;HAUTS-DE-SEINE;92040;ISSY LES MOULINEAUX; 911   ; 1 498 792   ; 5 139   
Ile de France;HAUTS-DE-SEINE;92035;LA GARENNE COLOMBES; 404   ; 1 449 801   ; 4 961   
Ile de France;HAUTS-DE-SEINE;92060;LE PLESSIS ROBINSON; 217   ; 1 330 985   ; 3 694   
Ile de France;HAUTS-DE-SEINE;92044;LEVALLOIS-PERRET; 1 410   ; 1 704 161   ; 7 267   
Ile de France;HAUTS-DE-SEINE;92046;MALAKOFF; 184   ; 1 450 356   ; 5 210   
Ile de France;HAUTS-DE-SEINE;92048;MEUDON; 1 448   ; 1 601 687   ; 6 475   
Ile de France;HAUTS-DE-SEINE;92049;MONTROUGE; 496   ; 1 686 207   ; 8 374   
Ile de France;HAUTS-DE-SEINE;92050;NANTERRE; 320   ; 1 407 885   ; 4 530   
Ile de France;HAUTS-DE-SEINE;92051;NEUILLY SUR SEINE; 6 980   ; 2 934 623   ; 20 456   
Ile de France;HAUTS-DE-SEINE;92062;PUTEAUX; 397   ; 1 493 323   ; 5 461   
Ile de France;HAUTS-DE-SEINE;92063;RUEIL MALMAISON; 1 997   ; 1 564 600   ; 6 055   
Ile de France;HAUTS-DE-SEINE;92064;SAINT CLOUD; 1 829   ; 2 170 330   ; 12 859   
Ile de France;HAUTS-DE-SEINE;92072;SEVRES; 820   ; 1 759 148   ; 7 458   
Ile de France;HAUTS-DE-SEINE;92073;SURESNES; 655   ; 1 644 356   ; 6 491   
Ile de France;HAUTS-DE-SEINE;92075;VANVES; 462   ; 1 448 141   ; 4 839   
Ile de France;PARIS;75101;PARIS 01; 825   ; 2 166 890   ; 12 472   
Ile de France;PARIS;75102;PARIS 02; 470   ; 1 573 350   ; 6 081   
Ile de France;PARIS;75103;PARIS 03; 1 127   ; 1 901 703   ; 9 232   
Ile de France;PARIS;75104;PARIS 04; 1 469   ; 2 228 006   ; 12 499   
Ile de France;PARIS;75105;PARIS 05; 2 901   ; 1 978 143   ; 10 075   
Ile de France;PARIS;75106;PARIS 06; 4 326   ; 2 515 533   ; 15 872   
Ile de France;PARIS;75107;PARIS 07; 6 462   ; 3 171 356   ; 22 609   
Ile de France;PARIS;75108;PARIS 08; 3 530   ; 2 778 850   ; 18 917   
Ile de France;PARIS;75109;PARIS 09; 1 909   ; 1 759 238   ; 7 739   
Ile de France;PARIS;75110;PARIS 10; 1 006   ; 1 560 409   ; 5 949   
Ile de France;PARIS;75111;PARIS 11; 2 344   ; 1 585 963   ; 6 251   
Ile de France;PARIS;75112;PARIS 12; 2 904   ; 1 601 990   ; 6 375   
Ile de France;PARIS;75113;PARIS 13; 2 589   ; 1 546 802   ; 5 836   
Ile de France;PARIS;75114;PARIS 14; 3 962   ; 1 716 384   ; 7 310   
Ile de France;PARIS;75115;PARIS 15; 8 440   ; 1 709 587   ; 7 338   
Ile de France;PARIS;75116;PARIS 16; 17 356   ; 2 685 717   ; 17 774   
Ile de France;PARIS;75117;PARIS 17; 7 201   ; 2 077 576   ; 11 068   
Ile de France;PARIS;75118;PARIS 18; 1 710   ; 1 728 587   ; 7 465   
Ile de France;PARIS;75119;PARIS 19; 1 364   ; 1 527 345   ; 5 510   
Ile de France;PARIS;75120;PARIS 20; 1 467   ; 1 419 911   ; 4 537   
Ile de France;SEINE-ET-MARNE;77058;BUSSY-SAINT-GEORGES; 78   ; 1 375 829   ; 4 637   
Ile de France;SEINE-ET-MARNE;77083;CHAMPS SUR MARNE; 72   ; 1 192 240   ; 2 664   
Ile de France;SEINE-ET-MARNE;77108;CHELLES; 219   ; 1 313 406   ; 3 570   
Ile de France;SEINE-ET-MARNE;77122;COMBS LA VILLE; 73   ; 1 329 269   ; 3 777   
Ile de France;SEINE-ET-MARNE;77152;DAMMARIE LES LYS; 85   ; 1 454 947   ; 5 037   
Ile de France;SEINE-ET-MARNE;77284;MEAUX; 220   ; 1 516 358   ; 5 372   
Ile de France;SEINE-ET-MARNE;77288;MELUN; 199   ; 1 588 797   ; 6 487   
Ile de France;SEINE-ET-MARNE;77350;OZOIR LA FERRIERE; 114   ; 1 427 358   ; 4 777   
Ile de France;SEINE-ET-MARNE;77373;PONTAULT COMBAULT; 128   ; 1 270 355   ; 3 457   
Ile de France;SEINE-SAINT-DENIS;93001;AUBERVILLIERS; 90   ; 1 521 371   ; 5 515   
Ile de France;SEINE-SAINT-DENIS;93005;AULNAY SOUS BOIS; 271   ; 1 380 374   ; 4 328   
Ile de France;SEINE-SAINT-DENIS;93006;BAGNOLET; 62   ; 1 284 587   ; 3 314   
Ile de France;SEINE-SAINT-DENIS;93010;BONDY; 65   ; 1 404 688   ; 4 568   
Ile de France;SEINE-SAINT-DENIS;93029;DRANCY; 111   ; 1 373 202   ; 4 137   
Ile de France;SEINE-SAINT-DENIS;93031;EPINAY SUR SEINE; 93   ; 1 332 880   ; 3 893   
Ile de France;SEINE-SAINT-DENIS;93032;GAGNY; 200   ; 1 345 356   ; 4 123   
Ile de France;SEINE-SAINT-DENIS;93007;LE BLANC MESNIL; 83   ; 1 371 971   ; 4 295   
Ile de France;SEINE-SAINT-DENIS;93045;LES LILAS; 151   ; 1 628 985   ; 6 877   
Ile de France;SEINE-SAINT-DENIS;93046;LIVRY GARGAN; 150   ; 1 429 844   ; 5 045   
Ile de France;SEINE-SAINT-DENIS;93047;MONTFERMEIL; 90   ; 1 420 857   ; 4 584   
Ile de France;SEINE-SAINT-DENIS;93048;MONTREUIL SOUS BOIS; 300   ; 1 423 166   ; 4 554   
Ile de France;SEINE-SAINT-DENIS;93051;NOISY LE GRAND; 222   ; 1 407 867   ; 4 395   
Ile de France;SEINE-SAINT-DENIS;93053;NOISY LE SEC; 112   ; 1 314 563   ; 3 702   
Ile de France;SEINE-SAINT-DENIS;93055;PANTIN; 136   ; 1 326 211   ; 3 742   
Ile de France;SEINE-SAINT-DENIS;93063;ROMAINVILLE; 57   ; 1 325 057   ; 3 676   
Ile de France;SEINE-SAINT-DENIS;93064;ROSNY SOUS BOIS; 149   ; 1 337 200   ; 3 837   
Ile de France;SEINE-SAINT-DENIS;93066;SAINT DENIS; 82   ; 1 572 777   ; 5 708   
Ile de France;SEINE-SAINT-DENIS;93070;SAINT OUEN; 84   ; 1 480 880   ; 5 161   
Ile de France;SEINE-SAINT-DENIS;93073;TREMBLAY EN FRANCE; 62   ; 1 260 366   ; 3 410   
Ile de France;SEINE-SAINT-DENIS;93077;VILLEMOMBLE; 275   ; 1 495 952   ; 5 767   
Ile de France;VAL-DE-MARNE;94002;ALFORTVILLE; 99   ; 1 375 479   ; 4 157   
Ile de France;VAL-DE-MARNE;94016;CACHAN; 211   ; 1 367 623   ; 4 113   
Ile de France;VAL-DE-MARNE;94017;CHAMPIGNY SUR MARNE; 302   ; 1 429 708   ; 4 799   
Ile de France;VAL-DE-MARNE;94018;CHARENTON LE PONT; 555   ; 1 565 015   ; 5 885   
Ile de France;VAL-DE-MARNE;94022;CHOISY LE ROI; 150   ; 1 442 890   ; 4 720   
Ile de France;VAL-DE-MARNE;94028;CRETEIL; 334   ; 1 395 779   ; 4 421   
Ile de France;VAL-DE-MARNE;94033;FONTENAY SOUS BOIS; 779   ; 1 732 019   ; 7 506   
Ile de France;VAL-DE-MARNE;94034;FRESNES; 88   ; 1 316 255   ; 3 789   
Ile de France;VAL-DE-MARNE;94041;IVRY SUR SEINE; 150   ; 1 530 593   ; 5 588   
Ile de France;VAL-DE-MARNE;94038;L' HAY-LES-ROSES; 334   ; 1 420 961   ; 4 566   
Ile de France;VAL-DE-MARNE;94043;LE KREMLIN BICETRE; 103   ; 1 398 169   ; 4 596   
Ile de France;VAL-DE-MARNE;94058;LE PERREUX SUR MARNE; 605   ; 1 475 138   ; 5 052   
Ile de France;VAL-DE-MARNE;94046;MAISONS-ALFORT; 380   ; 1 479 584   ; 5 418   
Ile de France;VAL-DE-MARNE;94052;NOGENT SUR MARNE; 1 015   ; 1 730 514   ; 7 841   
Ile de France;VAL-DE-MARNE;94054;ORLY; 53   ; 1 213 780   ; 2 915   
Ile de France;VAL-DE-MARNE;94068;SAINT MAUR DES FOSSES; 2 209   ; 1 646 057   ; 6 977   
Ile de France;VAL-DE-MARNE;94071;SUCY EN BRIE; 318   ; 1 348 668   ; 4 050   
Ile de France;VAL-DE-MARNE;94073;THIAIS; 205   ; 1 503 255   ; 5 338   
Ile de France;VAL-DE-MARNE;94076;VILLEJUIF; 174   ; 1 405 547   ; 4 412   
Ile de France;VAL-DE-MARNE;94078;VILLENEUVE-SAINT-GEORGES; 51   ; 1 437 417   ; 4 552   
Ile de France;VAL-DE-MARNE;94079;VILLIERS SUR MARNE; 143   ; 1 387 715   ; 4 408   
Ile de France;VAL-DE-MARNE;94080;VINCENNES; 1 218   ; 1 530 241   ; 5 471   
Ile de France;VAL-DE-MARNE;94081;VITRY-SUR-SEINE; 208   ; 1 448 040   ; 5 080   
Ile de France;VAL-D'OISE;95018;ARGENTEUIL; 240   ; 1 707 312   ; 8 663   
Ile de France;VAL-D'OISE;95127;CERGY; 129   ; 1 319 883   ; 3 876   
Ile de France;VAL-D'OISE;95197;DEUIL LA BARRE; 183   ; 1 403 236   ; 4 410   
Ile de France;VAL-D'OISE;95203;EAUBONNE; 234   ; 1 306 951   ; 3 587   
Ile de France;VAL-D'OISE;95219;ERMONT; 182   ; 1 301 338   ; 3 556   
Ile de France;VAL-D'OISE;95252;FRANCONVILLE; 100   ; 1 532 341   ; 6 967   
Ile de France;VAL-D'OISE;95306;HERBLAY; 161   ; 1 399 430   ; 4 619   
Ile de France;VAL-D'OISE;95428;MONTMORENCY; 455   ; 1 662 468   ; 6 757   
Ile de France;VAL-D'OISE;95500;PONTOISE; 161   ; 1 532 210   ; 5 522   
Ile de France;VAL-D'OISE;95582;SANNOIS; 126   ; 1 266 493   ; 3 307   
Ile de France;VAL-D'OISE;95585;SARCELLES; 65   ; 1 277 017   ; 3 286   
Ile de France;VAL-D'OISE;95607;TAVERNY; 163   ; 1 319 298   ; 3 673   
Ile de France;YVELINES;78146;CHATOU; 931   ; 1 670 260   ; 7 388   
Ile de France;YVELINES;78172;CONFLANS-SAINTE-HONORINE; 191   ; 1 364 017   ; 4 025   
Ile de France;YVELINES;78208;ELANCOURT; 126   ; 1 241 866   ; 3 156   
Ile de France;YVELINES;78297;GUYANCOURT; 109   ; 1 269 328   ; 3 492   
Ile de France;YVELINES;78311;HOUILLES; 244   ; 1 249 226   ; 3 169   
Ile de France;YVELINES;78126;LA CELLE-SAINT-CLOUD; 787   ; 1 758 203   ; 8 298   
Ile de France;YVELINES;78158;LE CHESNAY; 1 072   ; 1 598 451   ; 6 456   
Ile de France;YVELINES;78358;MAISONS-LAFFITTE; 871   ; 1 578 669   ; 6 084   
Ile de France;YVELINES;78361;MANTES-LA-JOLIE; 141   ; 1 599 079   ; 6 153   
Ile de France;YVELINES;78423;MONTIGNY-LE-BRETONNEUX; 149   ; 1 344 816   ; 3 657   
Ile de France;YVELINES;78490;PLAISIR; 214   ; 1 396 518   ; 4 503   
Ile de France;YVELINES;78498;POISSY; 261   ; 1 338 315   ; 3 941   
Ile de France;YVELINES;78517;RAMBOUILLET; 348   ; 1 432 874   ; 4 982   
Ile de France;YVELINES;78551;SAINT-GERMAIN-EN-LAYE; 1 609   ; 1 756 274   ; 7 799   
Ile de France;YVELINES;78586;SARTROUVILLE; 249   ; 1 390 011   ; 4 502   
Ile de France;YVELINES;78640;VELIZY-VILLACOUBLAY; 202   ; 1 251 612   ; 3 263   
Ile de France;YVELINES;78646;VERSAILLES; 3 861   ; 1 628 518   ; 6 574   
Languedoc-Roussillon;AUDE;11069;CARCASSONNE; 202   ; 1 497 124   ; 5 329   
Languedoc-Roussillon;AUDE;11262;NARBONNE; 236   ; 1 490 434   ; 4 977   
Languedoc-Roussillon;GARD;30007;ALES; 180   ; 1 320 169   ; 3 783   
Languedoc-Roussillon;GARD;30189;NIMES; 985   ; 1 551 597   ; 5 888   
Languedoc-Roussillon;HERAULT;34003;AGDE; 201   ; 1 387 549   ; 4 489   
Languedoc-Roussillon;HERAULT;34032;BEZIERS; 365   ; 1 642 114   ; 6 487   
Languedoc-Roussillon;HERAULT;34108;FRONTIGNAN; 80   ; 1 403 163   ; 4 220   
Languedoc-Roussillon;HERAULT;34145;LUNEL; 76   ; 1 325 723   ; 3 638   
Languedoc-Roussillon;HERAULT;34172;MONTPELLIER; 1 477   ; 1 462 513   ; 5 048   
Languedoc-Roussillon;HERAULT;34301;SETE; 271   ; 1 555 953   ; 5 600   
Languedoc-Roussillon;PYRENEES-ORIENTALES;66136;PERPIGNAN; 664   ; 1 540 623   ; 5 536   
Limousin;CORREZE;19031;BRIVE-LA-GAILLARDE; 354   ; 1 628 842   ; 6 906   
Limousin;HAUTE-VIENNE;87085;LIMOGES; 805   ; 1 793 279   ; 8 486   
Lorraine;MEURTHE-ET-MOSELLE;54329;LUNEVILLE; 76   ; 1 524 474   ; 5 208   
Lorraine;MEURTHE-ET-MOSELLE;54395;NANCY; 887   ; 1 656 521   ; 7 076   
Lorraine;MEURTHE-ET-MOSELLE;54547;VANDOEUVRE LES NANCY; 104   ; 1 276 803   ; 3 297   
Lorraine;MEUSE;55545;VERDUN; 63   ; 1 779 708   ; 7 606   
Lorraine;MOSELLE;57227;FORBACH; 59   ; 1 733 898   ; 9 141   
Lorraine;MOSELLE;57463;METZ; 649   ; 1 647 158   ; 6 879   
Lorraine;MOSELLE;57480;MONTIGNY LES METZ; 173   ; 1 575 102   ; 6 018   
Lorraine;MOSELLE;57631;SARREGUEMINES; 103   ; 1 775 654   ; 7 573   
Lorraine;MOSELLE;57672;THIONVILLE; 299   ; 1 668 052   ; 6 717   
Lorraine;VOSGES;88160;EPINAL; 187   ; 1 778 844   ; 8 795   
Lorraine;VOSGES;88413;SAINT DIE DES VOSGES; 107   ; 1 460 643   ; 4 767   
Martinique;MARTINIQUE;97209;FORT DE FRANCE; 91   ; 2 416 301   ; 15 014   
Midi-Pyrénées;AVEYRON;12145;MILLAU; 99   ; 1 478 388   ; 5 199   
Midi-Pyrénées;AVEYRON;12202;RODEZ; 200   ; 1 575 658   ; 6 013   
Midi-Pyrénées;GERS;32013;AUCH; 150   ; 1 339 392   ; 3 884   
Midi-Pyrénées;HAUTE-GARONNE;31069;BLAGNAC; 113   ; 1 347 388   ; 3 745   
Midi-Pyrénées;HAUTE-GARONNE;31149;COLOMIERS; 129   ; 1 329 614   ; 3 726   
Midi-Pyrénées;HAUTE-GARONNE;31395;MURET; 121   ; 1 338 849   ; 3 894   
Midi-Pyrénées;HAUTE-GARONNE;31555;TOULOUSE; 3 324   ; 1 540 313   ; 5 779   
Midi-Pyrénées;HAUTE-GARONNE;31557;TOURNEFEUILLE; 211   ; 1 435 416   ; 4 873   
Midi-Pyrénées;HAUTES-PYRENEES;65440;TARBES; 176   ; 1 385 277   ; 4 393   
Midi-Pyrénées;LOT;46042;CAHORS; 138   ; 1 276 531   ; 3 379   
Midi-Pyrénées;TARN;81004;ALBI; 259   ; 1 464 977   ; 5 394   
Midi-Pyrénées;TARN;81065;CASTRES; 214   ; 1 489 770   ; 5 123   
Midi-Pyrénées;TARN-ET-GARONNE;82121;MONTAUBAN; 266   ; 1 635 446   ; 6 750   
Nord-Pas-de-Calais;NORD;59017;ARMENTIERES; 87   ; 1 681 717   ; 8 198   
Nord-Pas-de-Calais;NORD;59122;CAMBRAI; 226   ; 1 574 034   ; 6 011   
Nord-Pas-de-Calais;NORD;59163;CROIX; 362   ; 3 536 657   ; 25 358   
Nord-Pas-de-Calais;NORD;59178;DOUAI; 305   ; 1 514 413   ; 5 495   
Nord-Pas-de-Calais;NORD;59183;DUNKERQUE; 413   ; 1 407 354   ; 4 658   
Nord-Pas-de-Calais;NORD;59295;HAZEBROUCK; 115   ; 1 500 308   ; 5 418   
Nord-Pas-de-Calais;NORD;59368;LA MADELEINE; 205   ; 1 769 767   ; 7 888   
Nord-Pas-de-Calais;NORD;59328;LAMBERSART; 327   ; 1 794 394   ; 7 910   
Nord-Pas-de-Calais;NORD;59350;LILLE; 1 317   ; 1 582 767   ; 6 137   
Nord-Pas-de-Calais;NORD;59378;MARCQ EN BAROEUL; 1 047   ; 1 921 581   ; 9 022   
